"Filmtitel","Szene","Szenenbeschreibung","Drehort","Drehortbeschreibung","Längengrad (Drehort)","Breitengrad (Drehort)","Szenenort","Längengrad (Szenenort)","Breitengrad (Szenenort)","Zeit im Film (sek)","Zeit (chronologisch)","Figuren","Links","Quelle","Anmerkung",
"Age of Ultron","A2-28K","Captain America steigt wieder auf den Lastwagen und verpasst Ultron ein paar kräftige Schläge, während der Lastwagen nach rechts abbiegt.","Gyeonggi-do, Südkorea","Diese Aufnahme findet weiter unten auf der Gyewondaehang-ro statt, wo er nach rechts auf die Galmi-ro abbiegt.","37.379192576534365","126.97607627976096","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:23:00,2015,"Clint Barton als Hawkeye / Steve Rogers als Captain America / Natascha Romanow als Black Widow",,"https://mculocationscout.com/2020/08/09/motorcycle-chase-seoul-mcu-location-scout/",,
"Age of Ultron","A2-28L","Hawkeye zieht den Quinjet in die Vertikale, um einem Paar Ultron-Drohnen auszuweichen.","Daechi 2(i)-dong, Gangnam-gu, Seoul, Südkorea","Die Hintergrundplatte dafür befand sich genau über dem Kreisverkehr und Parkplatz in Gangnam-gu.","37.50709984592377","127.06752918301399","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:23:03,2015,"Clint Barton als Hawkeye / Natascha Romanow als Black Widow / Ultron",,"https://mculocationscout.com/2020/08/09/train-chase-seoul-mcu-location-scout/",,
"Age of Ultron","A2-28M","Während die beiden Drohnen von der Rückseite des Lastwagens aus starten, um den Quinjet anzugreifen, fährt Widow mit ihrem Motorrad die Auffahrt zum unteren Parkplatz unter dem Dongbu Expressway hinunter, um dem Lastwagen zu folgen.","Daechi 2(i)-dong, Gangnam-gu, Seoul, Südkorea","Die Hintergrundplatte dafür befand sich genau über dem Kreisverkehr und Parkplatz in Gangnam-gu.","37.50709984592377","127.06752918301399","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:23:07,2015,"Clint Barton als Hawkeye / Natascha Romanow als Black Widow / Ultron",,"https://mculocationscout.com/2020/08/09/train-chase-seoul-mcu-location-scout/",,
"Age of Ultron","A2-28N","Der Lastwagen fährt durch einen Parkplatz und hält mit einem vorbeifahrenden Pendlerzug Schritt. Captain America wird von Ultron in den Zug geschleudert, während Widow in den hinteren Teil des Lastwagens springt.","186-5 Samseong-dong, Gangnam-gu, Seoul, Südkorea","Die gesamte erste Hälfte der Verfolgungsjagd mit dem Zug findet auf dem Parkplatz unter der Schnellstraße zwischen der Samseong-Gyo-Brücke und der Bong-Eungyo-Brücke statt.","37.51264324787103","127.0677959999999","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:23:30,2015,"Clint Barton als Hawkeye / Steve Rogers als Captain America / Natascha Romanow als Black Widow / Ultron",,"https://mculocationscout.com/2020/08/09/train-chase-seoul-mcu-location-scout/",,
"Age of Ultron","A2-28O","Die Ultron-Bots heben mit der Cradle ab, gefolgt von Hawkeye im Quinjet.","316-2 Dongjak-dong, Dongjak-gu, Seoul, Südkorea","Sie fliegen über den Han-Fluss mit der Dongjak-Brücke im Hintergrund und der Olympic-Daero-Autobahn auf der rechten Seite.","37.50501235295249","126.98015751464298","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:24:19,2015,"Clint Barton als Hawkeye / Steve Rogers als Captain America / Natascha Romanow als Black Widow / Ultron",,"https://mculocationscout.com/2020/08/09/train-chase-seoul-mcu-location-scout/",,
"Age of Ultron","A2-28P","Quicksilver, Scarlet, Captain America und Ultron kämpfen im Zug.","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:24:44,2015,"Pietro Maximoff als Quicksilver / Wanda Maximoff als Scarlet Witch / Steve Rogers als Captain America / Ultron",,,,
"Age of Ultron","A2-28Q","Ultron verlässt den Zug und fliegt mit seinen Begleitern davon, wobei er sich Black Widow schnappt. Er fliegt über die Zugbrücken, direkt westlich der Hangang-Brücke, während der Zug unter ihm weiterfährt.","317-1 Noryangjin-dong, Dongjak-gu, Seoul, South Korea",,"37.51685770676443","126.94954481349103","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:25:06,2015,"Clint Barton als Hawkeye / Steve Rogers als Captain America / Natascha Romanow als Black Widow / Ultron",,"https://mculocationscout.com/2020/08/09/train-chase-seoul-mcu-location-scout/",,
"Age of Ultron","A2-28R","Hawkeye fliegt auf Anweisung von Captain America davon.","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:25:45,2015,"Clint Barton als Hawkeye / Steve Rogers als Captain America",,,,
"Age of Ultron","A2-28S","Der Zug entgleist auf einer Straße.","Dorim-ro 128ga-gil, Yeongdeungpo-gu, Seoul, Südkorea","Die Hintergrundbilder wurden in und um diesen Bereich aufgenommen.","37.51435412652068","126.8976644506618","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:26:02,2015,"Clint Barton als Hawkeye / Steve Rogers als Captain America / Natascha Romanow als Black Widow / Ultron",,"https://mculocationscout.com/2020/08/09/train-chase-seoul-mcu-location-scout/",,
"Age of Ultron","A2-28T","Der Zug kommt auf einer koreanischen Straße zum Stehen.","Longcross Studios, Chobham Lane, Chertsey, England KT16 0EX, United Kingdom","Die letzten Aufnahmen des Zuges wurden laut Cinefex #142 im Backlot der Longcross-Studios in England gedreht.","51.3832677947837","-0.5936927730749278","Seoul, Südkorea","37.52975100584142","127.06706699827458",01:26:13,2015,"Clint Barton als Hawkeye / Steve Rogers als Captain America / Natascha Romanow als Black Widow / Ultron",,"https://mculocationscout.com/2020/08/09/train-chase-seoul-mcu-location-scout/",,
"Age of Ultron","A2-29","Hawkeye ist zurück im Stark Tower, wo er noch immer besorgt um Black Widow, mit Tony Stark und Bruce Banner spricht. Tony plant JARVIS mithilfe von Banner in den Zepter zu bringen.","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Stark Turm (innen)","40.75344630782818","-73.9766453444253",01:27:09,2015,"Clint Barton als Hawkeye / Tony Stark als Tony Stark als Iron Man / Bruce Banner",,,,
"Age of Ultron","A2-30","Black Widow wacht in Ultrons Versteck in Sokovia auf.","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Sokovia","null","null",01:29:19,2015,"Natascha Romanow als Black Widow / Ultron",,,,
"Age of Ultron","A2-31","Tony Stark lädt heimlich JARVIS - der nach seinem Versteck vor Ultron tief im Internet immer noch funktionsfähig ist - in den künstlichen Körper. Währenddessen erhält Hawkeye Morsecode von Black Widows Aufenthalt in Ultrons Versteck in Sokovia.","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Stark Turm (innen)","40.75344630782818","-73.9766453444253",01:30:31,2015,"Tony Stark / Bruce Banner",,,,
"Age of Ultron","A2-32","Captain America und die Zwillinge wollen Stark von seinem Vorgehen, JARVIS in einen künstlichen Körper hochzuladen abhalten. Es endet in einem Kampf. Thor erweckt den Androide, Vision genannt, vollständig zum Leben. Er schließt sich dem Kampf gegen Ultro","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Stark Turm (innen)","40.75344630782818","-73.9766453444253",01:31:20,2015,"Tony Stark / Bruce Banner / Steve Rogers als Captain America / Pietro Maximoff als Quicksilver / Wanda Maximoff als Scarlet Witch / Thor / Vision",,"https://de.wikipedia.org/wiki/Avengers:_Age_of_Ultron",,
"Age of Ultron","A2-33","Das Quinjet fliegt nach Sokovia.","Aosta Valley, Italy","Die Burg Fort Bard in Italien wird für die Außenaufnahmen verwendet.","45.608475766257","7.744776327306901","Hydra Basis (außen)","null","null",01:37:35,2015,,,,,
"Age of Ultron","A2-34","Als sich Ultrons Truppen in Novi Grad versammeln, beginnen Hawkeye und Scarlet mit der Evakuierung der Bürger. In einer Wohnung wird eine Familie durch die Kräfte von Scarlet evakuiert.","Via Caduti della Libertà, 6, 11029 Verrès AO, Italy","Der Blick aus dem Fenster geht nach Nordosten auf eine Gasse mit Le Petit Cafe Bar Gelateria.","45.66864773951658","7.69153390171248","Sokovia","null","null",01:37:55,2015,"Wanda Maximoff als Scarlet Witch",,"https://mculocationscout.com/2020/08/09/pedestrian-bridge-novi-grad-mcu-location-scout/",,
"Age of Ultron","A2-35","Hawkeye sitzt auf einem Dach und überwacht die Evakuierung.","Via Caduti della Libertà, 3, 11029 Verrès AO, Italy","Gedreht wurde über der Via Caduti della Liberta.","45.66878698581386","7.691483701495474","Sokovia","null","null",01:38:13,2015,"Clint Barton als Hawkeye",,,,
"Age of Ultron","A2-36","Die Stadtbewohner evakuieren die Zerstörung zwischen Ultrons Armee und den Avengers.","Via Roma, 11026 Pont-Saint-Martin AO, Italy","Sie überqueren die Ponte Del Diavolo an der Via Roma in Pont-Saint-Martin, Italien.","45.599306734773364","7.800140835365246","Sokovia","null","null",01:38:35,2015,,,,,
"Age of Ultron","A2-37","Bruce Banner befreit Black Widow aus dem Gefängnis","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Ultrons Versteck","null","null",01:38:40,2015,"Natascha Romanow als Black Widow / Bruce Banner",,,,
"Age of Ultron","A2-38","Hawkeye und Scarlet bekämpfen Droiden auf einer Brücke.","Via Martorey, 3, 11029 Verrès AO, Italy","Gedreht auf der Brücke Via Caduti della Liberta in Verrès, Italien.","45.66846404603949","7.6921397269641165","Sokovia","null","null",01:40:25,2015,"Clint Barton als Hawkeye / Wanda Maximoff als Scarlet Witch",,,,
"Age of Ultron","A2-39","Ultron und Vision treffen in der Kirche aufeinander.","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Kirche, Sokovia","null","null",01:40:56,2015,"Ultron / Vision",,,,
"Age of Ultron","A2-40A","Quicksilver wehrt Droiden ab, die in Autos einschlagen.","Piazza Plouves
11100 Aosta AO
Italy","Die Aufnahmen fanden auf dem Parkplatz der Piazza Plouves in Aosta, Italien, statt.","45.737108464477586","7.323415024805015","Sokovia","null","null",01:41:20,2015,"Pietro Maximoff als Quicksilver",,"https://mculocationscout.com/2020/08/09/battle-of-sokovia-italy-mcu-location-scout/",,
"Age of Ultron","A2-40B","Quicksilver macht einen Halt vor einer verfallenen Steinmauer.","17 Via Vevey
Aosta, Aostatal","Die Steinmauer ist in der Via Torino in Aosta, Italien.","45.73676028787767","7.324677000172748","Sokovia","null","null",01:41:18,2015,"Pietro Maximoff als Quicksilver",,"https://mculocationscout.com/2020/08/09/battle-of-sokovia-italy-mcu-location-scout/",,
"Age of Ultron","A2-41","Thor kämpft sich hinunter in Ultrons unterirdisches Versteck","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Ultrons Versteck","null","null",01:41:48,2015,"Thor",,,,
"Age of Ultron","A2-42","Die Stadt erhebt sich in die Höhe. Brücken bersten auseinander.","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Hierbei handelt es sich um Studioaufnahmen.","51.40797670356879","-0.46609220136945423","Sokovia","null","null",01:42:02,2015,"Steve Rogers als Captain America / Wanda Maximoff als Scarlet Witch / Clint Barton als Hawkeye / Thor",,"https://mculocationscout.com/2020/08/09/novi-grad-square-sokovia-mcu-location-scout/",,
"Age of Ultron","A2-43","The Hulk und Black Widow landen im Wald.","Bourne Woods, Tilford Rd, Farnham, England GU10 3RW, United Kingdom","Der Bourne-Wald wurde für die Aufnahmen verwendet.","51.19289380732606","-0.7711367791992004","Sokovischer Wald","null","null",01:43:57,2015,"Natascha Romanow als Black Widow / Bruce Banner als Hulk",,"https://mculocationscout.com/2020/08/09/sokovian-woods-mcu-location-scout/",,
"Age of Ultron","A2-44","Auf dem Novi Grad Square liefern sich Ultrons Droiden und die Avengers den finalen Kampf.","Lismore Blv, London, United Kingdom","Gedreht wurde im Metropolitan Police Training Centre am Lismore Blv. Auf einer Seite des Ausbildungszentrums stand eine Statue von Sir Robert Peele, die nicht bewegt werden konnte. Auf dieser Seite des Zentrums befanden sich auch die Kulissen für das Rettungsboot und die Brücke. Auf der anderen Seite des Geländes wurden zwei Statuen und ein Kiosk gebaut sowie die Kirche, in der der letzte Kampf zwischen den Avengers und Ultron stattfand.","51.59292396582391","-0.24021191534307765","Novi Grad Square, Sokovia","null","null",01:45:00,2015,"Steve Rogers als Captain America",,"https://mculocationscout.com/2020/08/09/novi-grad-square-sokovia-mcu-location-scout/",,
"Age of Ultron","A2-45","Hawkeye und Scarlet bekämpfen Droiden an einer Kreuzung.","Piazza Renè Di Challant, 1, 11029 Verrès AO, Italy","Die Kreuzung befindet sich an der Via Martorey und Via Caduti per la Libertà in Verrès, Italien.","45.66869493638452","7.691624236803254","Sokovia","null","null",01:45:36,2015,"Clint Barton als Hawkeye / Wanda Maximoff als Scarlet Witch",,"https://mculocationscout.com/2020/08/09/battle-of-sokovia-italy-mcu-location-scout/",,
"Age of Ultron","A2-46","Der finale Kampf zwischen Ultrons Armee und den Avengers.","Lismore Blv, London, United Kingdom","Gedreht wurde im Metropolitan Police Training Centre am Lismore Blv. Auf einer Seite des Ausbildungszentrums stand eine Statue von Sir Robert Peele, die nicht bewegt werden konnte. Auf dieser Seite des Zentrums befanden sich auch die Kulissen für das Rettungsboot und die Brücke. Auf der anderen Seite des Geländes wurden zwei Statuen und ein Kiosk gebaut sowie die Kirche, in der der letzte Kampf zwischen den Avengers und Ultron stattfand.","51.59292396582391","-0.24021191534307765","Novi Grad Square, Sokovia","null","null",01:48:00,2015,"Clint Barton als Hawkeye / Wanda Maximoff als Scarlet Witch / Thor /Steve Rogers als Captain America / Ultron",,"https://mculocationscout.com/2020/08/09/novi-grad-square-sokovia-mcu-location-scout/",,
"Age of Ultron","A2-47","Die Zivilisten werden von SHIELD-Rettungsbooten gerettet.","Lismore Blv, London, United Kingdom","Gedreht wurde im Metropolitan Police Training Centre am Lismore Blv. Auf einer Seite des Ausbildungszentrums stand eine Statue von Sir Robert Peele, die nicht bewegt werden konnte. Auf dieser Seite des Zentrums befanden sich auch die Kulissen für das Rettungsboot und die Brücke. Auf der anderen Seite des Geländes wurden zwei Statuen und ein Kiosk gebaut sowie die Kirche, in der der letzte Kampf zwischen den Avengers und Ultron stattfand.","51.59292396582391","-0.24021191534307765","Novi Grad Square, Sokovia","null","null",01:51:52,2015,"Pietro Maximoff als Quicksilver / Natascha Romanow als Black Widow / Steve Rogers als Captain America",,"https://mculocationscout.com/2020/08/09/novi-grad-square-sokovia-mcu-location-scout/",,
"Age of Ultron","A2-48","Die Avengers kämpfen mit Ultrons Armee in der Kirche.","Shepperton Studios, Studios Road, Shepperton, Surrey, England, UK","Es ist anzunehmen, dass es sich hierbei um Studioaufnahmen handelt.","51.40797670356879","-0.46609220136945423","Sokovia","null","null",01:56:10,2015,"Wanda Maximoff als Scarlet Witch / Thor /Steve Rogers als Captain America / The Bruce Banner als Hulk / Pietro Maximoff als Quicksilver /",,,,
"Age of Ultron","A2-49","Black Widow versucht Hulk zu beruhigen, während Hawkeye die Rettungsaktion mitkoordinier.","Lismore Blv, London, United Kingdom","Gedreht wurde im Metropolitan Police Training Centre am Lismore Blv. Auf einer Seite des Ausbildungszentrums stand eine Statue von Sir Robert Peele, die nicht bewegt werden konnte. Auf dieser Seite des Zentrums befanden sich auch die Kulissen für das Rettungsboot und die Brücke. Auf der anderen Seite des Geländes wurden zwei Statuen und ein Kiosk gebaut sowie die Kirche, in der der letzte Kampf zwischen den Avengers und Ultron stattfand.","51.59292396582391","-0.24021191534307765","Novi Grad Square, Sokovia","null","null",01:58:53,2015,"Clint Barton als Hawkeye / Natascha Romanow als Black Widow / Bruce Banner als Hulk",,,,
"Age of Ultron","A2-50","Hawkeye rettet einen Jungen und wird selbst von Quicksilver gerettet, der dabei stirbt.","Lismore Blv, London, United Kingdom","Gedreht wurde im Metropolitan Police Training Centre am Lismore Blv. Auf einer Seite des Ausbildungszentrums stand eine Statue von Sir Robert Peele, die nicht bewegt werden konnte. Auf dieser Seite des Zentrums befanden sich auch die Kulissen für das Rettungsboot und die Brücke. Auf der anderen Seite des Geländes wurden zwei Statuen und ein Kiosk gebaut sowie die Kirche, in der der letzte Kampf zwischen den Avengers und Ultron stattfand.","51.59292396582391","-0.24021191534307765","Novi Grad Square, Sokovia","null","null",01:59:55,2015,"Clint Barton als Hawkeye / Pietro Maximoff als Quicksilver",,,,
"Age of Ultron","A2-51","Vision trifft auf den geschwächten Ultron und vernichtet ihn.",,"Der Drehort ist unbekannt.",,,"Sokovischer Wald","null","null",02:05:29,2015,"Ultron / Vision",,,,
"Age of Ultron","A2-52","Hawkeye kehrt zu seiner Familie zurück.","Stratfield Saye Park Reading RG7 2BZ, United Kingdom","Der Ort, an dem die Scheune und das Haus gebaut wurden, ist der Stratfield Saye Park.","51.35027603799194","-0.9867394866585626","Barton Farm","null","null",02:06:26,2015,"Clint Barton",,"https://mculocationscout.com/2020/08/09/barton-farm-mcu-location-scout/",,
"Age of Ultron","A2-53","Tony Stark fährt mit einem Auto zur neuen Avengers-Headbasis.","Sainsbury Centre for Visual Arts, University of East Anglia, Norwich, England NR4 7TU, United Kingdom","Das erste und wichtigste Gebäude für die Einrichtung ist das Sainsbury Centre for Visual Arts an der University of East Anglia in Norwich, UK. Es wurden einige zusätzliche Innenaufnahmen im Sainsbury Centre gedreht, vor allem Thor, Steve und Tony im Gespräch, und die Versammlung der Avengers in der Schlusseinstellung.","52.62051916108792","1.2347317558150142","Avengers-Headbasis, Upstate, New York","43.50239684316703","-75.38157371845853",02:07:00,2015,"Tony Stark / Natascha Romanow als Black Widow / Nick Fury / Steve Rogers als Captain America",,"https://mculocationscout.com/2020/08/09/new-avengers-facility-mcu-location-scout/",,
"Age of Ultron","A2-54","In der neuen Avengers-Headbasis werden Falcon, Wanda (Scarlet) und Vision begrüßt.","Royal Victoria Dock, 1 Western Gateway, London E16 1XL, United Kingdom","Die kurzen Innenaufnahmen am Ende von Avengers: Age of Ultron finden in der Londoner ExCel-Halle in London statt.","51.509061487861246","0.02980539113863503","Avengers-Headbasis, Upstate, New York","43.50239684316703","-75.38157371845853",02:11:00,2015,"Natascha Romanow als Black Widow / Steve Rogers als Captain America / Wanda / Vision / Falcon",,"https://mculocationscout.com/2020/08/09/new-avengers-facility-mcu-location-scout/",,
